species_number,adore_species_number,latin_name,resolved_name,ecotox_group,tax_group,n_records_field,n_records_adore,in_adore_processed,in_adore_public,in_phylo,in_deb
5,5,Daphnia magna,Daphnia magna,Crustaceans;Standard Test Species,crusta,12157,7260,1,1,1,1
4,4,Oncorhynchus mykiss,Oncorhynchus mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,fish,11555,5985,1,1,1,1
1,1,Pimephales promelas,Pimephales promelas,Fish;Standard Test Species,fish,9200,5831,1,1,1,1
2,2,Lepomis macrochirus,Lepomis macrochirus,Fish;Standard Test Species,fish,7005,4592,1,1,1,1
58471,58471,Raphidocelis subcapitata,Raphidocelis subcapitata,Algae;Standard Test Species,algae,3197,1793,1,0,0,0
20,20,Ictalurus punctatus,Ictalurus punctatus,Fish;Standard Test Species,fish,2571,1309,1,1,1,1
5156,5156,Danio rerio,Danio rerio,Fish;Standard Test Species,fish,2528,743,1,1,1,1
21,21:1520:3020,Cyprinus carpio,Cyprinus carpio,Fish;Standard Test Species,fish,2221,1527,1,1,1,1
2371,2371,Ceriodaphnia dubia,Ceriodaphnia dubia,Crustaceans;Standard Test Species,crusta,2175,1114,1,0,0,1
109,109,Oryzias latipes,Oryzias latipes,Fish;Standard Test Species,fish,1743,952,1,1,1,1
25,25,Carassius auratus,Carassius auratus,Fish;Standard Test Species,fish,1656,940,1,1,1,1
28,28,Poecilia reticulata,Poecilia reticulata,Fish;Standard Test Species,fish,1651,1113,1,1,1,1
52,52,Hyalella azteca,Hyalella azteca,Crustaceans;Standard Test Species,crusta,1583,504,1,0,0,1
142,142,Americamysis bahia,Americamysis bahia,Crustaceans;Standard Test Species,crusta,1447,1068,1,0,0,1
8,8,Daphnia pulex,Daphnia pulex,Crustaceans;Standard Test Species,crusta,1432,847,1,1,1,1
230,,Aedes aegypti,Aedes aegypti,Insects/Spiders;Standard Test Species,other,1375,0,0,0,0,0
86,86,Cyprinodon variegatus,Cyprinodon variegatus,Fish;Standard Test Species,fish,1348,913,1,1,1,1
23,23,Oncorhynchus kisutch,Oncorhynchus kisutch,Fish;Standard Test Species;U.S. Threatened and Endangered Species,fish,1119,621,1,1,1,1
397,,Culex quinquefasciatus,Culex quinquefasciatus,Insects/Spiders,other,1109,0,0,0,0,0
206,,Xenopus laevis,Xenopus laevis,Amphibians;Standard Test Species;U.S. Invasive Species,other,1085,0,0,0,0,0
16,16:2298,Gambusia affinis,Gambusia affinis,Fish,fish,1065,852,1,1,1,1
1799,,Lemna gibba,Lemna gibba,"Flowers, Trees, Shrubs, Ferns;Standard Test Species",other,983,0,0,0,0,0
59,59:4632,Morone saxatilis,Morone saxatilis,Fish,fish,949,594,1,1,1,1
507,,Lemna minor,Lemna minor,"Flowers, Trees, Shrubs, Ferns;Standard Test Species;U.S. Invasive Species",other,893,0,0,0,0,0
484,,Tetrahymena pyriformis,Tetrahymena pyriformis,Other Invertebrates;Standard Test Species,other,891,0,0,0,0,0
3,3,Salvelinus fontinalis,Salvelinus fontinalis,Fish;Standard Test Species,fish,886,582,1,1,1,1
65263,,Palaemon pugio,Palaemonetes pugio,Crustaceans;Standard Test Species,crusta,852,0,0,0,0,1
964,,Chironomus riparius,Chironomus riparius,Insects/Spiders;Standard Test Species,other,850,0,0,0,0,0
309,309,Skeletonema costatum,Skeletonema costatum,Algae;Standard Test Species,algae,817,365,1,0,0,0
